Purchase Price,AM or PM,Browser Info,Language,Company,Credit Card,CC Exp Date,CC Security Code,CC Provider,Address
98.14,PM,Opera/9.56.(X11; Linux x86_64; sl-SI) Presto/2.9.183 Version/12.00,el,Martinez-Herman,6011929061123406,02/20,900,JCB 16 digit,149.146.147.205
70.73,PM,Opera/8.93.(Windows 98; Win 9x 4.90; en-US) Presto/2.9.176 Version/11.00,fr,"Fletcher, Richards and Whitaker",3337758169645356,11/18,561,Mastercard,15.160.41.51
0.95,PM,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.2; Trident/5.1),de,"Simpson, Williams and Pham",675957666125,08/19,699,JCB 16 digit,110.94.157.159
78.04,PM,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0 rv:3.0; en-US) AppleWebKit/531.27.1 (KHTML, like Gecko) Version/5.1 Safari/531.27.1",es,"Williams, Marshall and Buchanan",6011578504430710,02/24,384,Discover,34.232.116.93
77.82,AM,Opera/9.58.(X11; Linux x86_64; it-IT) Presto/2.9.182 Version/11.00,es,"Brown, Watson and Andrews",6011456623207998,10/25,678,Diners Club / Carte Blanche,34.184.52.243
25.15,PM,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_8_5) AppleWebKit/5312 (KHTML, like Gecko) Chrome/14.0.884.0 Safari/5312",ru,Silva-Anderson,30246185196287,07/25,7169,Discover,55.96.152.147
88.56,AM,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.0; Trident/3.0),de,Gibson and Sons,6011398782655569,07/24,714,VISA 16 digit,184.219.108.66
44.25,PM,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/5350 (KHTML, like Gecko) Chrome/15.0.841.0 Safari/5350",pt,Marshall-Collins,561252141909,06/25,256,VISA 13 digit,104.197.129.186
59.54,PM,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_7_9) AppleWebKit/5330 (KHTML, like Gecko) Chrome/14.0.898.0 Safari/5330",ru,Galloway and Sons,180041795790001,04/24,899,JCB 16 digit,164.120.75.196
95.63,AM,Mozilla/5.0 (X11; Linux i686; rv:1.9.7.20) Gecko/2011-11-30 06:02:34 Firefox/9.0,zh,"Rivera, Buchanan and Ramirez",4396283918371,01/17,931,American Express,164.211.122.50
96.89,PM,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_1 like Mac OS X; sl-SI) AppleWebKit/531.41.4 (KHTML, like Gecko) Version/3.0.5 Mobile/8B116 Safari/6531.41.4",el,"Strickland, Michael and Gonzales",180036417827355,02/17,754,Voyager,51.123.116.163
19.26,PM,Mozilla/5.0 (X11; Linux i686; rv:1.9.6.20) Gecko/2014-05-12 06:09:34 Firefox/3.6.9,en,Kim-Oliver,869975209012056,06/26,9717,JCB 15 digit,195.199.61.52
39.65,AM,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_3 rv:2.0; sl-SI) AppleWebKit/532.38.2 (KHTML, like Gecko) Version/5.0.1 Safari/532.38.2",en,Moore-Martin,5115990487067905,05/26,119,VISA 16 digit,195.253.133.55
8.93,PM,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_8_6 rv:5.0; en-US) AppleWebKit/531.44.5 (KHTML, like Gecko) Version/5.0 Safari/531.44.5",it,Keller PLC,4603635169938574,01/25,557,VISA 16 digit,84.212.92.11
24.18,AM,Mozilla/5.0 (Windows 98; it-IT; rv:1.9.2.20) Gecko/2013-01-15 08:05:10 Firefox/3.8,de,"Leach, Howe and Ferguson",869967499275071,09/22,427,VISA 16 digit,169.249.193.77
71.78,PM,Opera/8.95.(Windows NT 5.0; en-US) Presto/2.9.164 Version/11.00,el,Garcia-Steele,180069437020404,04/25,404,Diners Club / Carte Blanche,92.214.230.32
84.44,AM,Opera/9.73.(Windows NT 6.2; sl-SI) Presto/2.9.187 Version/11.00,de,"Stanton, Villanueva and Swanson",676121145525,06/22,285,Diners Club / Carte Blanche,8.145.170.52
58.68,PM,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.1; Trident/4.1),el,"Fernandez, Melton and Gilbert",3337515540944084,01/26,771,American Express,223.25.125.61
70.15,PM,Mozilla/5.0 (X11; Linux i686; rv:1.9.6.20) Gecko/2015-12-01 10:21:36 Firefox/15.0,el,"Beard, Abbott and Pena",6011350184276270,12/22,767,Mastercard,73.250.176.201
58.39,PM,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.2; Trident/3.1),fr,Turner-Mckinney,676343504830,02/20,440,VISA 16 digit,157.93.137.215
30.33,PM,"Mozilla/5.0 (Windows; U; Windows NT 4.0) AppleWebKit/533.49.6 (KHTML, like Gecko) Version/5.1 Safari/533.49.6",de,"Santana, Montes and Pierce",6011833038852776,03/22,740,Maestro,96.118.35.58
90.93,AM,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 6.1; Trident/5.0),it,Guzman-Reese,5491255326230898,03/25,506,JCB 16 digit,125.58.66.253
33.62,PM,"Mozilla/5.0 (Windows 95) AppleWebKit/5342 (KHTML, like Gecko) Chrome/15.0.879.0 Safari/5342",en,Burnett Ltd,3158663456056588,07/22,508,Discover,65.106.61.141
97.97,PM,Mozilla/5.0 (compatible; MSIE 5.0; Windows 98; Trident/4.0),ru,Cruz Inc,502010078983,02/23,60,VISA 13 digit,190.235.210.189
85.31,AM,Mozilla/5.0 (compatible; MSIE 6.0; Windows CE; Trident/4.1),es,Morris PLC,4749728852401144,07/18,11,JCB 15 digit,179.80.98.134
6.25,PM,Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_7_1; rv:1.9.6.20) Gecko/2011-10-24 13:49:14 Firefox/3.8,de,Saunders-Mendez,869938033091779,05/19,901,Voyager,67.26.186.226
17.75,AM,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_3) AppleWebKit/5311 (KHTML, like Gecko) Chrome/15.0.868.0 Safari/5311",en,"Stephens, Johnson and Combs",60488441233,03/19,70,VISA 13 digit,61.197.134.185
39.4,PM,Opera/9.75.(Windows NT 6.0; en-US) Presto/2.9.188 Version/12.00,es,"Levine, Shaw and Jenkins",869948145612941,12/16,310,Diners Club / Carte Blanche,177.220.131.93
70.75,PM,"Mozilla/5.0 (Windows; U; Windows NT 6.1) AppleWebKit/532.23.1 (KHTML, like Gecko) Version/4.0.5 Safari/532.23.1",es,Reed Inc,180026477662982,11/24,16,JCB 15 digit,197.190.249.132
82.16,PM,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_6_7 rv:6.0; en-US) AppleWebKit/534.15.1 (KHTML, like Gecko) Version/5.0 Safari/534.15.1",it,Goodwin Ltd,4170734785397597,07/22,319,Maestro,218.189.145.248
8.43,PM,"Mozilla/5.0 (Windows NT 6.2) AppleWebKit/5341 (KHTML, like Gecko) Chrome/13.0.847.0 Safari/5341",ru,Mills-Stewart,4262383666841320,04/17,412,Diners Club / Carte Blanche,209.16.233.96
94.14,PM,Opera/8.84.(X11; Linux i686; sl-SI) Presto/2.9.169 Version/10.00,en,Nicholson Group,4614997834548,03/22,909,Mastercard,137.157.116.246
56.63,PM,"Mozilla/5.0 (Windows 98; Win 9x 4.90) AppleWebKit/5331 (KHTML, like Gecko) Chrome/15.0.845.0 Safari/5331",pt,Martinez-Wilson,4942281854569455,01/20,8360,JCB 16 digit,166.69.128.188
19.63,PM,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.0; Trident/3.1),ru,Miles Inc,4981497027087090,05/25,867,VISA 16 digit,141.37.123.132
89.6,PM,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/5310 (KHTML, like Gecko) Chrome/14.0.801.0 Safari/5310",pt,"Morgan, Dunlap and Lopez",4488424222907706,01/21,311,JCB 15 digit,173.22.90.76
97.46,AM,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_7_4) AppleWebKit/5340 (KHTML, like Gecko) Chrome/13.0.858.0 Safari/5340",zh,Mora Ltd,6011049630969815,09/16,367,Mastercard,104.190.93.176
9.77,PM,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.2; Trident/5.1),zh,Hanna-Grant,180042289507877,09/20,912,VISA 16 digit,195.52.10.167
80.42,AM,Mozilla/5.0 (compatible; MSIE 9.0; Windows 98; Win 9x 4.90; Trident/3.1),es,"Lawson, Rodriguez and Ramirez",180062205588942,06/18,902,American Express,17.202.105.185
30.07,AM,Mozilla/5.0 (X11; Linux i686; rv:1.9.6.20) Gecko/2011-04-07 21:42:36 Firefox/11.0,en,"Bryant, Hubbard and Gonzales",210094965373094,12/20,248,Voyager,143.138.65.219
13.89,AM,Opera/8.23.(X11; Linux x86_64; sl-SI) Presto/2.9.172 Version/11.00,el,"Sweeney, Miller and Castaneda",30508996615114,02/19,369,JCB 16 digit,47.93.149.75
87.68,AM,"Mozilla/5.0 (Windows; U; Windows 95) AppleWebKit/533.34.1 (KHTML, like Gecko) Version/5.0.4 Safari/533.34.1",pt,Weiss Group,348836222401711,05/26,667,Voyager,102.225.220.122
23.06,PM,"Mozilla/5.0 (Windows; U; Windows 98) AppleWebKit/532.45.3 (KHTML, like Gecko) Version/4.0.4 Safari/532.45.3",ru,Scott-Fuller,4547562019036152,08/20,716,Mastercard,246.108.171.137
51.21,AM,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.6.20) Gecko/2013-10-19 12:16:29 Firefox/7.0,de,"Atkinson, Conway and Young",3096412225633417,12/20,454,Discover,5.51.213.47
51.79,PM,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/5341 (KHTML, like Gecko) Chrome/13.0.807.0 Safari/5341",el,Matthews-Meyer,6011488855778396,04/23,543,Discover,71.102.56.200
8.58,PM,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 4.0; Trident/3.0),en,Esparza Ltd,30003479457184,08/24,719,JCB 16 digit,109.85.178.201
18.69,PM,"Mozilla/5.0 (Windows NT 6.2) AppleWebKit/5312 (KHTML, like Gecko) Chrome/13.0.817.0 Safari/5312",es,Jackson-Allen,869978354045368,03/26,406,American Express,30.68.49.104
53.99,AM,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 4.0; Trident/3.1),pt,Brown-Brown,30124451554465,08/20,545,JCB 16 digit,114.236.228.124
97.01,PM,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/5330 (KHTML, like Gecko) Chrome/14.0.823.0 Safari/5330",it,Sanchez PLC,4237333090755,09/20,446,Maestro,84.195.175.153
58.66,PM,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_7_8) AppleWebKit/5330 (KHTML, like Gecko) Chrome/15.0.856.0 Safari/5330",ru,Diaz-Farrell,210095502370279,05/24,253,JCB 16 digit,102.176.177.41
86.38,PM,Opera/8.11.(X11; Linux x86_64; it-IT) Presto/2.9.163 Version/10.00,es,"Ingram, Sullivan and Contreras",5374455122083499,05/25,657,VISA 13 digit,84.240.35.144
36.85,PM,Mozilla/5.0 (Windows 98; Win 9x 4.90; sl-SI; rv:1.9.2.20) Gecko/2016-05-03 02:05:14 Firefox/3.8,de,"Wright, Williams and Mendez",4008586485908075,05/19,945,JCB 16 digit,135.55.0.58
93.22,PM,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.6.20) Gecko/2015-03-04 16:07:01 Firefox/3.8,es,"Howard, Garcia and Jones",4332227215237678,10/17,975,American Express,142.171.212.118
76.49,PM,Opera/9.65.(Windows NT 5.1; it-IT) Presto/2.9.168 Version/12.00,it,Meza Group,3088085017234428,05/26,24,Discover,5.126.206.189
10.41,AM,Opera/9.34.(X11; Linux x86_64; it-IT) Presto/2.9.160 Version/12.00,fr,"Higgins, Cardenas and Kennedy",869972604798355,08/17,157,JCB 16 digit,44.108.117.122
